year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,303,26,303,25,False,25,25,4.696369636963697,8.0,19,0.08231999999999999,0.08250825082508251,749,374,7,0,True,2.0
2013,408,8,408,25,False,25,28,4.9068627450980395,8.0,18,0.0632,0.061274509803921566,746,373,18,0,True,2.0
2014,421,8,421,25,False,25,51,5.31353919239905,8.0,11,0.06142,0.05938242280285035,746,373,9,0,True,3.0
2015,457,16,457,25,False,25,67,5.573304157549234,8.0,14,0.0553,0.05470459518599562,743,371,4,0,True,3.0
2016,471,44,471,25,False,25,44,5.32484076433121,8.0,15,0.05246000000000001,0.05307855626326964,746,373,0,0,True,3.0
2017,510,43,510,25,False,25,60,5.345098039215686,8.0,12,0.04796,0.049019607843137254,749,374,5,0,True,3.0
2018,476,64,476,25,False,25,53,5.163865546218488,8.0,10,0.05086,0.052521008403361345,752,376,1,0,True,2.0
2019,546,40,546,25,False,25,52,5.245421245421245,8.0,12,0.045279999999999994,0.045787545787545784,748,374,2,0,True,3.0
2020,671,19,671,25,False,25,82,5.414307004470939,8.0,8,0.03664,0.037257824143070044,750,375,5,0,True,2.0
2021,856,20,856,25,False,25,87,5.389018691588785,8.0,2,0.029300000000000003,0.029205607476635514,751,375,16,0,True,2.0
2022,820,23,820,25,False,25,107,5.363414634146341,9.0,25,0.0308,0.03048780487804878,752,376,8,0,True,2.0
2023,841,15,841,25,False,25,132,5.397146254458978,9.0,25,0.030139999999999997,0.029726516052318668,750,375,9,0,True,2.0
2024,848,9,848,25,False,25,63,5.005896226415095,8.0,14,0.02856,0.0294811320754717,747,373,11,0,True,2.0
